,address,addressNumber,bikes,district,id,lat,lon,name,nearbyStations,slots,stationType,status,zip,Colonia
0,001 - Río Sena-Río Balsas,S/N,12,CUA,1,19.433571399999998,-99.16780909999999,1 RIO SENA-RIO BALSAS,"3,8,85",15,"BIKE,TPV",OPN,06500,CUAUHTEMOC
1,002 - Río Guadalquivir - Río Balsas,S/N,2,CUA,2,19.431386,-99.171695,2 RIO GUADALQUIVIR-RIO BALSAS,"1,5",10,BIKE,OPN,06500,CUAUHTEMOC
2,003 - Reforma - Insurgentes,S/N,9,1,3,19.431655,-99.158668,3 REFORMA-INSURGENTES,"8,20,86",27,"BIKE,TPV",OPN,06500,TABACALERA
3,004 - Río Nilo - Río Panuco,S/N,3,CUA,4,19.428309,-99.171713,4 RIO NILO-RIO PANUCO,"5,8,9,10",12,BIKE,OPN,06500,CUAUHTEMOC
4,005 - Río Pánuco Río Tiber,S/N,12,CUA,5,19.42972,-99.169363,5 RIO PANUCO-RIO TIBER,"2,4,9,10",0,BIKE,OPN,06500,CUAUHTEMOC
5,006 - Río Pánuco - Río Sena,S/N,11,CUA,6,19.430922,-99.16695899999999,6 RIO PANUCO-RIO SENA,"1,3,5,10",3,BIKE,OPN,06500,CUAUHTEMOC
6,007 - Río Elba - Río Lerma,S/N,17,CUA,7,19.425468,-99.175166,7 RIO ELBA-RIO LERMA,"13,14,21,28",7,BIKE,OPN,06500,CUAUHTEMOC
7,008 - Reforma - General Prim,S/N,2,TAB,8,19.431141,-99.15831700000001,8 REFORMA-GENERAL PRIM,"3,20,86",10,BIKE,OPN,06500,JUAREZ
8,009 - Río Guadalquivir - Río Lerma,S/N,7,CUA,9,19.428009,-99.16991800000001,9 RIO GUADALQUIVIR-RIO LERMA,"4,5,8,16",17,BIKE,OPN,06500,CUAUHTEMOC
9,010 - Reforma - Ramírez,S/N,11,TAB,10,19.433321,-99.154752,10 REFORMA-RAMIREZ,26,24,"BIKE,TPV",OPN,06500,TABACALERA
10,011 - Río Amazonas - Rio Lerma,S/N,11,CUA,11,19.430992,-99.163593,11 RIO AMAZONAS-RIO LERMA,"3,12,19",4,BIKE,OPN,06500,CUAUHTEMOC
11,012 - Río Lerma - Villalongin,S/N,9,1,12,19.432313,-99.161597,12 RIO LERMA-VILLALONGIN,"11,19,20,85",6,BIKE,OPN,06500,CUAUHTEMOC
12,013 - Reforma - Rio Mississippi,S/N,17,1,13,19.42502,-99.17231,13 REFORMA-RIO MISSISSIPPI,"7,14,21",18,"BIKE,TPV",OPN,06500,CUAUHTEMOC
13,014 - Reforma - Rio de Plata,S/N,21,CUA,14,19.424768,-99.173261,14 REFORMA-RIO DE PLATA,"13,21,22,28",14,BIKE,OPN,06500,CUAUHTEMOC
14,015 - Reforma - Rio Mississippi,S/N,4,CUA,15,19.425476999999997,-99.17156700000001,15 REFORMA-RIO MISSISSIPPI,"14,16,22,23",20,"BIKE,TPV",OPN,06500,CUAUHTEMOC
15,016 - Reforma - Rio Tiber,S/N,11,1,16,19.427226,-99.168242,16 REFORMA-RÍO TIBER,"9,23,24",24,BIKE,OPN,06500,CUAUHTEMOC
16,017 - Reforma - Rio Tiber,S/N,12,1,17,19.427501,-99.167125,17 REFORMA-RIO TIBER,"16,18,25",14,"BIKE,TPV",OPN,06500,CUAUHTEMOC
17,018 - Reforma - Río Rhin,S/N,23,CUA,18,19.42888,-99.164176,18 REFORMA-RIO RHIN,"17,25",13,"BIKE,TPV",OPN,06500,CUAUHTEMOC
18,019 - Reforma - Río Rhin,S/N,4,1,19,19.429241,-99.163377,19 REFORMA-RIO RHIN,"12,20,27",20,"BIKE,TPV",OPN,06500,CUAUHTEMOC
19,020 - Reforma- Rio Tamesis,S/N,7,CUA,20,19.430964000000003,-99.160206,20 REFORMA-RIO TAMESIS,"12,19,27",17,BIKE,OPN,06500,CUAUHTEMOC
20,021 - Reforma - Dublin,S/N,11,1,21,19.42472,-99.17206,21 REFORMA-DUBLIN,"7,13,14,28",13,"BIKE,TPV",OPN,06500,JUAREZ
21,022 - Reforma - Manchester,S/N,29,JUA,22,19.424375,-99.172575,22 REFORMA-MANCHESTER,"14,15,23,28",7,"BIKE,TPV",OPN,06500,JUAREZ
22,023 - Reforma - Praga,S/N,18,JUA,23,19.42517,-99.17105,23 REFORMA-PRAGA,"15,16,22",18,BIKE,OPN,06500,CUAUHTEMOC
23,024 - Reforma- Varsovia,S/N,19,JUA,24,19.426470000000002,-99.16821999999999,24 REFORMA-VARSOVIA,"16,23",8,"BIKE,TPV",OPN,06500,CUAUHTEMOC
24,025 - Reforma - Estocolmo,S/N,16,JUA,25,19.427317000000002,-99.166662,25 REFORMA-ESTOCOLMO,"17,18",8,BIKE,OPN,06500,CUAUHTEMOC
25,026 - Reforma - Versalles,S/N,14,JUA,26,19.432685,-99.154726,26 REFORMA-VERSALLES,10,4,"BIKE,TPV",OPN,06500,JUAREZ
26,027 - Reforma- Havre,S/N,6,JUA,27,19.429115,-99.162614,27 REFORMA-HAVRE,"19,26,31",30,"BIKE,TPV",OPN,06500,CUAUHTEMOC
27,028 - Toledo- Tokio,S/N,8,JUA,28,19.423542,-99.172494,28 TOLEDO-TOKIO,"14,21,22",19,BIKE,OPN,06500,JUAREZ
